Id,SalePrice
1461,116408.26161213976
1462,125987.29297832795
1463,171859.0237102845
1464,198984.39058186195
1465,194323.4393285492
1466,183939.91500866378
1467,199214.137414332
1468,173989.28866650036
1469,209333.85983789363
1470,119819.56096490554
1471,201105.25226500595
1472,107671.11464776169
1473,84184.40655218333
1474,149841.40654170967
1475,111969.72263970098
1476,311987.1386942086
1477,248994.9066849408
1478,287390.41119304183
1479,268168.583741772
1480,380134.96537029254
1481,291740.3032116201
1482,209923.47816899687
1483,175451.4855709318
1484,170662.60276470776
1485,206975.09134355804
1486,210142.5686989111
1487,284413.9592353073
1488,260700.29221739236
1489,182895.3035785273
1490,231164.65802832122
1491,210146.29753278813
1492,87590.43804379238
1493,214118.25965159398
1494,289386.5761441712
1495,281332.9936415802
1496,216454.24078148708
1497,164350.8385247388
1498,152790.2177262752
1499,163189.0675922362
1500,151046.3468085822
1501,186684.4997753593
1502,147184.71769974742
1503,284377.8914019272
1504,247080.86032520572
1505,222825.93397397117
1506,197975.66231990664
1507,245471.0185057443
1508,200159.04164121358
1509,154915.3454790922
1510,142291.53214565583
1511,149053.83809819317
1512,187688.2280098308
1513,167072.14160686324
1514,156985.68164343224
1515,211027.21563083015
1516,171525.39049077616
1517,163728.11627021735
1518,119052.63588409906
1519,236366.31864486588
1520,123197.63771393092
1521,114298.94916627265
1522,202669.8764264594
1523,78845.80211733421
1524,104051.16588928632
1525,98111.70774888957
1526,83976.83189355955
1527,90247.66217340133
1528,151458.88572021073
1529,128751.31628588878
1530,237157.04583954846
1531,140376.1846260014
1532,119100.27875223511
1533,147455.8091410381
1534,125571.38629614725
1535,145067.28737780766
1536,93916.59166602895
1537,39295.2964421839
1538,174067.17425945995
1539,221368.55035562871
1540,112844.07320340315
1541,154226.9878225025
1542,131286.35622615123
1543,187199.12552015053
1544,75200.94049197959
1545,133308.71937677206
1546,140000.50147471332
1547,137893.820682407
1548,133140.21540750645
1549,126250.52082062827
1550,129443.91381010076
1551,131532.63663283444
1552,131568.88333307777
1553,164258.91232154763
1554,119753.49174904777
1555,156356.80122677505
1556,77087.20400400157
1557,89958.90226362529
1558,94245.99360091134
1559,74363.12667313265
1560,128906.95187133492
1561,126413.92773118743
1562,115799.61167457269
1563,116081.35994337394
1564,153278.3627032902
1565,140372.49590085598
1566,244135.51251107675
1567,69633.9771976819
1568,220317.42650084884
1569,88053.26904576865
1570,141262.0710240543
1571,111287.52726976841
1572,134793.07838145446
1573,248261.52469394566
1574,118190.96681636723
1575,241053.03933119716
1576,257234.5347371475
1577,196777.65100639814
1578,147705.36856683984
1579,137971.47295209975
1580,210812.9332794313
1581,132838.21734830237
1582,129229.6999287497
1583,304686.50956101925
1584,227918.2079133744
1585,157805.1890494962
1586,50812.51888202841
1587,96289.29961464717
1588,139781.55644699524
1589,107837.79074354365
1590,131878.99688148766
1591,76642.97374669963
1592,120178.56004367874
1593,150699.17005663353
1594,134564.47372183064
1595,124056.9473142979
1596,209331.81088483753
1597,167397.39940948098
1598,209765.17018338724
1599,200867.84350635286
1600,184099.71854381321
1601,24799.401757775107
1602,122138.42171889392
1603,54808.76901989721
1604,248917.28455838992
1605,272600.00286219106
1606,171570.3732542582
1607,164068.3425906991
1608,232301.3801595451
1609,196011.45007462497
1610,156793.87536095676
1611,164522.2651679212
1612,162847.20799888845
1613,170064.4835384275
1614,122113.13033384422
1615,70036.22664647724
1616,53497.27229601587
1617,56441.470776394824
1618,105458.9742607061
1619,154889.4160984567
1620,173212.6457341652
1621,136281.06625436142
1622,122640.51050072408
1623,257090.6107157031
1624,205843.40701742435
1625,117789.96188189136
1626,192074.48960888165
1627,194303.88349214674
1628,283546.82427615556
1629,196189.77785884636
1630,305017.8329924627
1631,212906.44001742324
1632,228802.335645759
1633,192870.94095790223
1634,196844.41678907536
1635,192506.83562287793
1636,165266.15669815172
1637,196526.0840464813
1638,214359.32945122558
1639,199005.01688579773
1640,258969.6119001431
1641,198313.9563984858
1642,229451.69718137488
1643,226442.57585629262
1644,233919.8617714669
1645,237657.8998971692
1646,181265.4131483353
1647,177599.54974745307
1648,133213.4175122904
1649,127587.55529717996
1650,116006.57345406408
